teebenchargs_id,algorithm,threads,relR,relS,matches,phase1Cycles,phase2Cycles,cyclesPerTuple,phase1Time,phase2Time,totalTime,throughput,phase1L3CacheMisses,phase1L3HitRatio,phase1L2CacheMisses,phase1L2HitRatio,phase1IPC,phase1IR,phase1EWB,phase1VoluntaryCS,phase1InvoluntaryCS,phase1UserCpuTime,phase1SystemCpuTime,phase2L3CacheMisses,phase2L3HitRatio,phase2L2CacheMisses,phase2L2HitRatio,phase2IPC,phase2IR,phase2EWB,phase2VoluntaryCS,phase2InvoluntaryCS,phase2UserCpuTime,phase2SystemCpuTime,totalL3CacheMisses,totalL3HitRatio,totalL2CacheMisses,totalL2HitRatio,totalIPC,totalIR,totalEWB,totalVoluntaryCS,totalInvoluntaryCS,totalUserCpuTime,totalSystemCpuTime
0,CrkJoin,1,13107200,52428800,0,0,0,43,538,832303,832841,78.6897,177,0.97,6400,0.28,0.52,1212279,0,5,48,832438,3722,0,0.00,0,0.00,0.00,0,0,0,0,0,0,18720,0.86,142314,0.34,0.00,19200594,1104,5,80,833382,4365
1,CrkJoin,1,13107200,52428800,52428800,0,0,183,484,3519501,3519985,18.6183,244,0.97,7613,0.28,0.49,1300859,0,11,54,3519533,3747,0,0.00,0,0.00,0.00,0,0,0,0,0,0,71278,0.87,592143,0.39,0.00,52903723,1344,11,86,3521004,3812
2,CrkJoin,1,13107200,52428800,52428800,0,0,182,600,3499503,3500103,18.7240,182,0.97,6768,0.28,0.51,1217567,0,7,54,3498474,4709,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79776,0.85,567854,0.43,0.00,55189849,1344,7,86,3499986,4851
3,CrkJoin,1,13107200,52428800,52428800,0,0,181,268,3484522,3484790,18.8063,180,0.97,7170,0.26,0.56,1223643,0,9,53,3479782,7928,0,0.00,0,0.00,0.00,0,0,0,0,0,0,82969,0.86,638965,0.42,0.00,74806078,1392,9,85,3480479,8765
4,CrkJoin,1,13107200,52428800,52428800,0,0,179,286,3446468,3446754,19.0138,180,0.97,6336,0.31,0.54,1210886,0,4,56,3447526,2024,0,0.00,0,0.00,0.00,0,0,0,0,0,0,74220,0.86,567391,0.42,0.00,53887285,1344,4,88,3448170,2887
5,CrkJoin,1,13107200,52428800,52428800,0,0,176,322,3387861,3388183,19.3425,185,0.97,6881,0.28,0.52,1221926,0,4,52,3391457,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,90341,0.85,617012,0.39,0.00,55323291,1344,4,84,3392953,66
6,CrkJoin,1,13107200,52428800,52428800,0,0,171,292,3302769,3303061,19.8410,179,0.97,6689,0.29,0.51,1215430,0,4,53,3302805,3455,0,0.00,0,0.00,0.00,0,0,0,0,0,0,79514,0.85,578031,0.41,0.00,51867397,1392,4,85,3303590,4289
7,CrkJoin,1,13107200,52428800,52428800,0,0,164,612,3168967,3169579,20.6766,183,0.97,6696,0.28,0.51,1220251,0,7,53,3168623,4046,0,0.00,0,0.00,0.00,0,0,0,0,0,0,73390,0.85,511084,0.45,0.00,47814068,1344,7,85,3170035,4198
8,CrkJoin,1,13107200,52428800,52428800,0,0,155,287,2982690,2982977,21.9700,178,0.97,6813,0.27,0.51,1224952,0,4,53,2986239,0,0,0.00,0,0.00,0.00,0,0,0,0,0,0,70814,0.85,498021,0.45,0.00,47314156,1344,4,85,2987863,0
9,CrkJoin,1,13107200,52428800,52428800,0,0,142,280,2731386,2731666,23.9912,180,0.97,6818,0.26,0.52,1223149,0,9,52,2727153,7844,0,0.00,0,0.00,0.00,0,0,0,0,0,0,72430,0.83,452616,0.50,0.00,47202890,1344,9,84,2728572,8043
